gene130	GO:0016568 GO:0004674 GO:0016564 GO:0043565 GO:0005524 GO:0003700 GO:0019904 GO:0045892 GO:0005634 GO:0006468
gene131	GO:0005388 GO:0016021 GO:0006754 GO:0005524 GO:0006816
gene132	GO:0004386 GO:0003676 GO:0005703 GO:0035042 GO:0005705
gene133	GO:0044464
gene134	GO:0005515 GO:0048264 GO:0042074 GO:0001702 GO:0044424 GO:0030178 GO:0046330
gene135	GO:0016021 GO:0007155 GO:0008897 GO:0009059
gene136	GO:0048731
gene137	GO:0015078 GO:0015986 GO:0000220
gene138	GO:0005488
gene139	GO:0006954 GO:0008233 GO:0019370 GO:0005515 GO:0004463 GO:0008270 GO:0004301
gene140	GO:0005488
gene141	GO:0006468 GO:0005777 GO:0005515 GO:0004631 GO:0008610
gene142	GO:0016251 GO:0006367 GO:0003743 GO:0005673
gene143	GO:0016600
gene144	GO:0006584 GO:0004500
gene145	GO:0016021 GO:0015347
gene146	GO:0007411 GO:0008594 GO:0005912 GO:0046664 GO:0004713 GO:0005524 GO:0005515 GO:0045011 GO:0007394 GO:0005737 GO:0006468
gene147	GO:0000080 GO:0007017 GO:0031434 GO:0007257 GO:0046777 GO:0043525 GO:0008283 GO:0005874 GO:0004706 GO:0051259 GO:0005813 GO:0048365 GO:0042803 GO:0007256 GO:0005625 GO:0005524 GO:0046328
gene148	GO:0005975 GO:0003824
gene149	GO:0001525 GO:0009986 GO:0010595 GO:0014909
gene150	GO:0008270 GO:0003887 GO:0000731 GO:0006297 GO:0003677 GO:0005515 GO:0000166 GO:0000082 GO:0005654 GO:0003682
gene151	GO:0004146 GO:0006760 GO:0006189 GO:0006545 GO:0015955
gene152	GO:0043231 GO:0044444
gene153	GO:0006560 GO:0005759
gene154	GO:0046914
gene155	GO:0005488 GO:0044238 GO:0044427 GO:0006325 GO:0034960 GO:0008168
gene156	GO:0015078 GO:0016021 GO:0005743 GO:0015986 GO:0045263 GO:0016787
gene157	GO:0006357 GO:0030177 GO:0016455 GO:0005515 GO:0000119
gene158	GO:0017111
gene159	GO:0000139 GO:0031985 GO:0005515 GO:0048193
gene160	GO:0042797 GO:0006357 GO:0006367 GO:0016251 GO:0003677 GO:0000126 GO:0042796 GO:0008134 GO:0005666 GO:0005669
gene161	GO:0003746 GO:0006357 GO:0003677 GO:0003711 GO:0006368 GO:0003702 GO:0005515 GO:0005634 GO:0008270
gene162	GO:0044464
gene163	GO:0008074 GO:0004383 GO:0015986 GO:0003677 GO:0016820 GO:0020037 GO:0007242 GO:0006306 GO:0033178 GO:0006182
gene164	GO:0007517 GO:0009987
gene165	GO:0016874 GO:0006260 GO:0046872 GO:0000166 GO:0006281
gene166	GO:0005975 GO:0016798
gene167	GO:0005863 GO:0003779 GO:0006941 GO:0005524 GO:0003774
gene168	GO:0005884 GO:0007010 GO:0005737 GO:0005524 GO:0005515
gene169	GO:0005099 GO:0005622 GO:0051056 GO:0005515 GO:0048149
gene170	GO:0009411 GO:0003678 GO:0006979 GO:0016363 GO:0045739 GO:0006283 GO:0005625 GO:0000209 GO:0010165 GO:0032403 GO:0004842 GO:0051865 GO:0008094 GO:0005654 GO:0000109
gene171	GO:0016829 GO:0019318 GO:0043226 GO:0044424
gene172	GO:0005737 GO:0046872 GO:0006423 GO:0005524 GO:0000049 GO:0042803 GO:0004817
gene173	GO:0004653 GO:0005529 GO:0030145 GO:0005795 GO:0009312 GO:0016021
gene174	GO:0045335 GO:0005515 GO:0033344 GO:0045121 GO:0050821
gene175	GO:0043565 GO:0046983 GO:0003700 GO:0005634 GO:0006355
gene176	GO:0006552 GO:0009374 GO:0000166 GO:0005759 GO:0004485 GO:0006768
gene177	GO:0050853 GO:0045596 GO:0019858 GO:0031663 GO:0007049 GO:0005856 GO:0000165 GO:0001784 GO:0009887 GO:0005524 GO:0016908 GO:0043330 GO:0032496 GO:0005737 GO:0050852 GO:0005634 GO:0006468 GO:0006974
gene178	GO:0004826 GO:0003723 GO:0009328 GO:0005524 GO:0000287 GO:0006432
gene179	GO:0009987 GO:0009888 GO:0009887 GO:0001501 GO:0031012
gene180	GO:0005737 GO:0006000 GO:0009744 GO:0016301 GO:0005515 GO:0010043 GO:0009749 GO:0009750 GO:0032868
gene181	GO:0051403 GO:0008270 GO:0009651 GO:0016021 GO:0006355 GO:0043565 GO:0016563 GO:0003700 GO:0042803 GO:0005634
gene182	GO:0008270 GO:0016458 GO:0060042 GO:0031017 GO:0016564 GO:0051567 GO:0003677 GO:0005515 GO:0000792 GO:0005657 GO:0042127 GO:0032776 GO:0045892 GO:0003886 GO:0005634
gene183	GO:0005737 GO:0005625 GO:0006376 GO:0003723 GO:0005515 GO:0005634 GO:0008016
gene184	GO:0005507 GO:0004129 GO:0016021 GO:0005743 GO:0015986 GO:0045263 GO:0009055 GO:0022904 GO:0020037
gene185	GO:0003735 GO:0022625 GO:0006412
gene186	GO:0030867 GO:0005515 GO:0008250 GO:0004579 GO:0018279
gene187	GO:0004653 GO:0005488 GO:0005795 GO:0009312 GO:0016020
gene188	GO:0009986 GO:0016337 GO:0044459 GO:0005515 GO:0048513
gene189	GO:0043234 GO:0016021 GO:0005874 GO:0042626 GO:0051258 GO:0005524 GO:0007018 GO:0003924 GO:0005198 GO:0005525
gene190	GO:0046872 GO:0044464
gene191	GO:0005840 GO:0003735 GO:0006412
gene192	GO:0008757
gene193	GO:0006810 GO:0016236
gene194	GO:0008013 GO:0007507 GO:0032053 GO:0007399 GO:0042384 GO:0045893
gene195	GO:0045197 GO:0045196 GO:0005918 GO:0005913 GO:0035003 GO:0016332 GO:0004385 GO:0001738 GO:0045179 GO:0005515 GO:0045186 GO:0016324
gene196	GO:0016021
gene197	GO:0008152 GO:0016787
gene198	GO:0005769 GO:0046907 GO:0044431 GO:0005886 GO:0005515 GO:0030136 GO:0006906 GO:0048471 GO:0015031
gene199	GO:0003723 GO:0005524 GO:0004004
